33762567,-7,0
33762647,-4,0
33762727,0,0
33762806,3,0
33762887,4,0
33763009,2,0
33763046,1,0
33763127,7,0
33763206,14,0
33763286,17,0
33763366,21,0
33763446,25,0
33763526,22,0
33763606,21,0
33763766,27,0
33763846,36,0
33763926,42,0
33764008,39,0
33764086,23,0
33764166,9,0
33764246,0,0
33764326,-9,0
33764406,-13,0
33764486,-12,0
33764566,-8,0
33764646,-3,0
33764726,-3,0
33764806,-3,0
33764886,-4,0
33765009,-8,0
33765046,-8,0
33765126,-8,0
33765206,-10,0
33765286,-8,0
33765366,0,0
33765446,9,0
33765526,12,0
33765606,14,0
33765686,19,0
33765766,24,0
33765846,20,0
33765926,10,0
33766009,-4,0
33766086,-19,0
33766166,-27,0
33766246,-21,0
33766326,-6,0
33766406,1,0
33766486,-3,0
33766566,-3,0
33766646,2,0
33766726,9,0
33766806,8,0
33766886,5,0
33767009,7,0
33767046,10,0
33767126,9,0
33767206,10,0
33767286,15,0
33767366,13,0
33767446,11,0
33767526,18,0
33767606,24,0
33767686,28,0
33767766,31,0
33767846,31,0
33767926,30,0
33768009,28,0
33768086,26,0
33768166,18,0
33768246,4,0
33768326,-6,0
33768406,-9,0
33768486,-9,0
33768566,-9,0
33768646,-11,0
33768726,-12,0
33768806,-17,0
33769009,-22,0
33769046,-23,0
33769126,-20,0
33769205,-6,0
33769286,9,0
33769365,15,0
33769445,16,0
33769526,18,0
33769605,24,0
33769685,27,0
33769765,20,0
33769845,5,0
33769925,-15,0
33770009,-29,0
33770085,-32,0
33770165,-28,0
33770246,-21,0
33770325,-15,0
33770405,-11,0
33770485,-6,0
33770565,0,0
33770645,3,0
33770725,4,0
33770805,8,0
33770885,12,0
33771009,12,0
33771045,10,0
33771125,9,0
33771205,7,0
33771285,9,0
33771365,15,0
33771445,19,0
33771525,23,0
33771605,31,0
33771685,41,0
33771765,44,0
33771845,36,0
33771925,19,0
33772009,7,0
33772085,1,0
33772165,-4,0
33772245,-7,0
33772325,-10,0
33772405,-12,0
33772485,-14,0
33772565,-20,0
33772645,-21,0
33772725,-15,0
33772805,-5,0
33772885,2,0
33773009,2,0
33773045,1,0
33773125,2,0
33773205,3,0
33773285,4,0
33773365,5,0
33773445,14,0
33773525,23,0
33773605,23,0
33773685,15,0
33773765,1,0
33773845,-13,0
33773925,-28,0
33774009,-35,0
33774165,-29,0
33774245,-18,0
33774325,-12,0
33774405,-4,0
33774485,3,0
33774565,6,0
33774645,5,0
33774724,2,0
33774805,2,0
33774884,9,0
33775008,14,0
33775045,12,0
33775124,10,0
33775204,9,0
33775285,21,0
33775364,42,0
33775444,41,0
33775525,22,0
33775604,14,0
33775684,10,0
33775765,3,0
33775844,5,0
33775924,12,0
33776009,14,0
33776084,8,0
33776164,4,0
33776244,7,0
33776324,12,0
33776404,26,0
33776484,38,0
33776564,31,0
33776644,11,0
33776724,-21,0
33776804,-35,0
33776884,-20,0
33777007,-10,0
33777044,-4,0
33777124,0,0
33777204,1,0
33777284,1,0
33777364,4,0
33777444,0,0
33777524,-7,0
33777604,-8,0
33777684,3,0
33777764,13,0
33777844,0,0
33777924,-11,0
33778009,6,0
33778084,21,0
33778164,17,0
33778244,13,0
33778324,11,0
33778404,7,0
33778484,4,0
33778564,5,0
33778644,7,0
33778724,6,0
33778804,5,0
33778884,7,0
33779008,9,0
33779044,7,0
33779124,4,0
33779204,4,0
33779364,6,0
33779444,6,0
33779524,4,0
33779604,6,0
33779684,8,0
33779764,9,0